次数,抽卡结果
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,A卡
1,非中
2,非中
3,非中
4,A卡
1,非中
2,非中
3,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,A卡
1,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,A卡
1,非中
2,非中
3,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,A卡
1,非中
2,非中
3,非中
4,非中
5,A卡
1,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,A卡
1,非中
2,非中
3,非中
4,A卡
1,A卡
1,A卡
1,非中
2,非中
3,非中
4,非中
5,A卡
1,非中
2,非中
3,非中
4,非中
5,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,A卡
1,非中
2,非中
3,非中
4,非中
5,A卡
1,A卡
1,非中
2,非中
3,非中
4,非中
5,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,A卡
1,非中
2,非中
3,A卡
1,非中
2,非中
3,非中
4,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,A卡
1,非中
2,非中
3,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,A卡
1,非中
2,非中
3,A卡
1,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,A卡
1,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,A卡
1,非中
2,A卡
1,A卡
1,非中
2,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,A卡
1,非中
2,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,A卡
1,A卡
1,非中
2,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,A卡
1,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,A卡
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
1,非中
2,非中
3,非中
4,非中
5,非中
6,非中
7,非中
8,非中
9,非中
10,A卡（保底）
